Conventions,G,BADC-CSV,1
title,G,Midas-open: Station site metadata for uk-mean-wind-obs
source,G,Met Office MIDAS database
creator,G,Met Office
activity,G,Met Office MIDAS Open: UK Land Surface Stations Data
feature_type,G,point collection
observation_station,G,UK land surface observing network
location,G,UK
collection_name,G,midas-open
collection_version_number,G,dataset-version-201901
date_valid,G,2019-01-29
history,G,Created 2019-01-29
last_revised_date,G,2019-01-29
comments,G,This file contains geographic and temporal information for the stations covered in this version of the uk-mean-wind-obs part of the MIDAS-open collection
comments,G,The temporal range given here is in relation to the data temporal range available for this station within this dataset and may differ from other dates for the given station in other MIDAS-open datasets
comments,G,The geographic location relates to the currently recorded station location to 3 decimal places of latitude and longitude
comments,G,If more precise geographical location information is required please contact the Met Office directly as there may be data management restrictions for stations located on private property
comments,G,Further station-specific details are given in each station folder in the associated capability files
comments,G,For fuller station metadata please use the MIDAS station search tool available from the Centre for Environmental Data Analysis
coordinate_variable,src_id,x
long_name,src_id,The unique MIDAS identifier for the station,1
type,src_id,int
comments,src_id,This is a unique ID ascribed to this station within the MIDAS system. It is used across MIDAS as a way to join related data and metadata together where a site may have used different identifiers for different meteorological reports over time.
long_name,station_name,The name for this station,1
type,station_name,char
long_name,station_file_name,The filename used for this station,1
type,station_file_name,char
comments,station_file_name,The filename is derived from the station name but replacing spaces with - as necessary
long_name,historic_county,the historic county this station is within,1
type,historic_county,char
comments,historic_county,Within MIDAS stations are associated with a set of fixed historic county definitions for the UK and are not amended to reflect modern county boundary changes. For more details refer to the MIDAS documentation.
long_name,station_latitude,The station latitude (WGS84),degrees
type,station_latitude,float
long_name,station_longitude,The station longitude (WGS84),degrees
type,station_longitude,float
long_name,station_elevation,The station elevation,m
type,station_elevation,float
comments,station_elevation,The station elevation in metres above mean sea level
long_name,first_year,first year of data associated with this station in this dataset,year
type,first_year,float
comments,first_year,This relates to the first year of available data within this version of this dataset. The first year may differ for this station within other datasets of Midas-open
long_name,last_year,last year of data associated with this station in this dataset,year
type,last_year,float
comments,last_year,This relates to the last year of data associated with this station in this dataset. It does not indicate whether the station is currently operational and the last year may differ for this station within other datasets of Midas-open
comments,last_year,The first and last year indicate simply the year of first and last available data in this dataset. They do not indicate the availability of data between those dates or availability of data within other datasets of Midas-open
data
src_id,station_name,station_file_name,historic_county,station_latitude,station_longitude,station_elevation,first_year,last_year
00002,FOULA NO 2,foula-no-2,shetland,60.11,-2.065,22,1997,2014
00003,FAIR ISLE,fair-isle,shetland,59.526,-1.63,57,1983,2017
00004,SUMBURGH,sumburgh,shetland,59.879,-1.299,7,1971,1997
00005,HAMNAVOE,hamnavoe,shetland,60.104,-1.333,21,1962,1971
00009,LERWICK,lerwick,shetland,60.139,-1.185,82,1957,2017
00010,SELLA NESS,sella-ness,shetland,60.447,-1.278,7,1979,2017
00011,MUCKLE HOLM,muckle-holm,shetland,60.581,-1.266,20,1997,2004
00012,BALTASOUND NO 2,baltasound-no-2,shetland,60.748,-0.856,15,1992,2017
00013,BALTASOUND,baltasound,shetland,60.759,-0.888,24,1988,1988
00015,SAXA VORD,saxa-vord,shetland,60.828,-0.841,284,1971,1973
00016,NORTH RONA ISLAND,north-rona-island,orkney,59.124,-5.827,98,1997,2009
00017,SULE SKERRY,sule-skerry,orkney,59.082,-4.405,12,1997,2017
00023,KIRKWALL,kirkwall,orkney,58.953,-2.901,26,1957,2017
00026,DOUNREAY,dounreay,caithness,58.579,-3.739,21,1969,1983
00030,SCRABSTER HARBOUR,scrabster-harbour,caithness,58.612,-3.547,10,2001,2001
00032,WICK AIRPORT,wick-airport,caithness,58.454,-3.09,36,1957,2017
00035,GEISGEIL,geisgeil,sutherland,58.319,-5.126,12,1978,1980
00036,DUARTMORE BRIDGE,duartmore-bridge,sutherland,58.289,-5.072,30,1980,2000
00037,CAPE WRATH,cape-wrath,sutherland,58.625,-5.0,112,1997,1997
00040,CASSLEY,cassley,sutherland,58.168,-4.727,99,1997,1997
00043,LAIRG NO 2,lairg-no-2,sutherland,58.019,-4.407,91,1993,1993
00044,ALTNAHARRA NO 2,altnaharra-no-2,sutherland,58.288,-4.442,81,1993,2017
00045,TORRISDALE,torrisdale,sutherland,58.523,-4.273,27,1980,1991
00048,"KINBRACE, HATCHERY",kinbrace-hatchery,sutherland,58.23,-3.922,103,1979,2017
00050,STRATHY EAST,strathy-east,sutherland,58.561,-3.992,68,1998,1998
00052,AULTBEA NO 2,aultbea-no-2,ross-and-cromarty,57.859,-5.633,11,1991,2017
00054,STORNOWAY AIRPORT,stornoway-airport,western-isles,58.213,-6.319,15,1957,2017
00055,BUTT OF LEWIS,butt-of-lewis,western-isles,58.516,-6.262,16,1994,1998
